Name,Followers,Rating,Industry,Domain,rev
Aarti Patel,4,5.0,JavaScript,"['frontend', 'javascript', 'html']","['::\nMy goals when starting this mentorship were to build better study habits, and get direction on where I should go within my career. Aarti, is by far the best mentor I have ever had! During our time together, she gave me great advice regarding advancing my programming career. She always responds to messages and is understanding. Aarti has taught me how to study effectively, a skill I never had beforehand! I would recommend her to anyone, as she likes to make sure that the plan created is personalized for each person, according to how the person learns/ what skills the person already has. She will help you develop those skills as well.\n', '::\nAarti was always kind and thorough in her responses, and the advice she gave me had an immediate and sizable impact on the impression I made on tech recruiters. Thank you!\n', '::\nAarti is a great mentor! Within my first month with her, my productivity increased tremendously! My goal of having better study habits has increased as well and I have a routine to work with. She is super experienced and is super friendly. I will recommend Aarti to anyone and everyone!\n']"
Ankita Kulkarni,4,5.0,JavaScript,"['leadership', 'softwaredevelopment', 'technical']","['::\nGreat intro chat, very clear and able to get in depth in the short time.\n', ""::\nAs a junior developer who has been feeling far behind in their career and looking to move up, Ankita has given me the sense of confidence and hope that I would've never expected given the number of failures and rejections I've faced throughout my journey so far. Through my time with her, she has helped define my career goals more clearly and given practical steps to take in order to reach where I ultimately want to be. If you are looking for a leader who is there to help support you in your career, I would highly recommend Ankita!\n"", ""::\nAnkita has continually gone above and beyond to make sure that I'm being supported and have the help that I need when I need it. It's only been a few weeks, but I already feel more confident in my work in ways that I never did previously.\n""]"
Ahmed Sadman Muhib,2,5.0,JavaScript,"['python', 'react', 'javascript']","['::\nAhmed is a great mentor! I was looking for a mentor who could help me strengthen my technical background and Ahmed was a great help. He shared many valuable resources and has excellent knowledge when it comes to technical aspects. Most importantly he held me accountable by assigning weekly milestones to achieve which helped quite a bit with my studying progress. I would highly recommend working with Ahmed.\n', ""::\nI'm absolutely loving this mentorship. Muhib is very methodical in his teaching, definitely knows what he is doing. All of his explanations are very thorough and he teaches in a fun and friendly environment. With his guidance, my productivity and retention has increased tremendously. I achieved much more in past few weeks which would have taken months otherwise. Probably the quality I like most about him is that he is very responsive and goes above and beyond to help me. I would definitely recommend him as a mentor.\n""]"
Faizal Patel,2,5.0,JavaScript,"['salesforce', 'apex', 'flutter']","['::\nI find the mentor very competent. This person loves his job very much and learning goes very fast. He also asked me several times about the quality of training and adjusts to my needs. In addition, he has coaching skills, which also helps in learning. My level of English is A2 and I understand it perfectly.\n', '::\nFaizal is a great mentor\n']"
Mark Thomas,1,5.0,JavaScript,"['javascript', 'react', 'career']",['NAN']
Nilesh Arnaiya,59,4.6,JavaScript,"['java', 'deeplearning', 'datascience']","[""::\nNilesh is a great and motivating mentor. He helps not only my codes, but also in a higher level what I need for a good foundation for coding. Besides doing projects, he also likes to know each other. So it's not only business-oriented, also for bonding.\n"", '::\nnice to know that Nilesh flexible enough to adapt with our messy schedule, our methode of learning/mentoring, and hopefully with the solutions that arises along the way\n', '::\nNilesh is really knowledgeable about python and will work to where the mentee is at in terms of experience.\n']"
Jake Sta Teresa,65,5.0,JavaScript,"['react', 'node', 'javascript']","['::\nJake was great! Very informative and helpful for a first time mentee like myself.\n', '::\nJake is an exceptional mentor. He is patient and positive. Two values that you would always hope to find in a mentor. I highly recommend him to devs looking for support and guidance.\n', ""::\nMy mentorship with Jake, definitely has been very helpful during my initial months as a software engineer. Jake's experience is reflected on the advise and feedback provided by him during our mentorship. He is always available even to answer a question and very flexible when it came to needing help.\n""]"
Naz Delam,45,5.0,JavaScript,"['computerscience', 'softwarearchitecture', 'webdevelopment']","[""::\nI was working in a position that wasn't fulfilling and diminished my technical skills to a point where I questioned if I could even continue being a software developer. I didn't feel confident coding, understanding bugs, or feeling I could be autonomous. But I decided to take a chance and leave my position and pursue a mentorship full-time. I wanted to learn something current, fulfilling, and enjoyable in order to bring more to the table as a developer to a company and feel well-rounded as a developer myself. So I decided on the JavaScript/React/Node space.\nI chose Naz because not only were her technical skills impressive but so was the way she looked at mentoring and teaching. When I began my time with Naz, we started from the ground up. I went from a basic understanding of JavaScript to tackling React and Node projects where I could guide myself into learning more when knowledge gaps arose. Naz helped me understand my learning patterns and areas to improve. I even took on new challenges like blogging on Medium or helping others with coding in my spare time. It's honestly amazing this was all within the span of 6-9 months.\nI feel so much more self-sufficient and was able to overcome a lot of my insecurities as a developer. Because of my time with Naz, I am entering my latest role as a full-stack JavaScript engineer at a startup! This is something I couldn't imagine myself doing prior to this experience and honestly, I encourage any developer that is struggling with direction to take on a mentorship program because not only will you understand more technically, but you will understand more about yourself and your abilities!\n"", '::\nNaz is a great mentor. She really cares about her mentees success. She was really helpful during my career development and I learnt a lot from her.\n', '::\nNaz is very experienced in the software field. I can tell that from our first call. So if you need some deep insights, Naz would be a great choice!\n']"
Victor Barros,12,5.0,JavaScript,"['productmanagement', 'entrepreneurship', 'startup']","['::\nI am really glad I tried Mentor cruise and found Victor!\nIt has been great experience so far.\nGreat knowledge and response time.\nHaving Victor as a mentor is giving me a piece of mind.\n', ""::\nIn a short period of time, Victor provided me with valuable insights about the startup world in Brazil. His knowledge and experience about the subject matter really showed, and he very efficiently helped me contextualize how my background will serve me internationally, as well as highlighting ways that I can add value to my profile. I strongly recommend Victor to anybody looking for guidance about the startup world, or anyone who's curious about doing business in Brazil. Muito obrigado!\n"", ""::\nMentor has been great to work with, as he provides great perspective and solutions to the problems I'm experiencing with my problems. He's willing to work with my agenda, catering to all my different types of questions. Would highly recommend as he's worth the investment as a mentor!\n""]"
Georgie Luhur Cooke,9,5.0,JavaScript,"['html', 'css', 'blogging']","[""::\nI just don't have the time do dedicate to being mentored. I wish i did\n"", '::\nIt is wonderful Ms Cooke helped me a lot\n', ""::\nI started a new job and don't have time to keep up with this right now, Georgie is great though, and this is no reflection on her as a mentor.\n""]"
Michal Tomasik,7,5.0,JavaScript,"['javascript', 'reactjs', 'webdevelopment']","['::\nIt is enjoyable and highly productive at the same time to exchange with Michael. Over the last five months, Michael gave me detailed feedback in order to hone my skills as front end dev. Michael is patient, practical and gets directly to the point. To this day, I still enjoy interchanging ideas with Michael. Thank you, Michael!\n', '::\nMichal is an excellent mentor. He helped me land my first job as a frontend developer in a short timeline. He provided specific feedback to improve my code organization and helped me develop my thinking process. He also provided a lot of help with strategies for interviews and for developing my portfolio. I would highly recommend for anyone wanting to find a job working with ReactJs.\n', '::\nI have covered all the crucial points with Michal. He explained how to approach the application process with details and described the current expectations of the market. I am pleased with the the call.\n']"
Prashant Mishra,15,4.9,JavaScript,"['entrepreneur', 'softwaredevelopmentprocess', 'codereview']","['::\nPrashant gave me very valuable advice about feeling stuck in my career and wanting to transition to development. I like his straightforward approach which allowed me to make a decision on what direction to take off the bat. This session has helped me a lot and cleared me from other distractions.\n', '::\nI took a mentorship from Prashant to understand how and what should be measured to ensure the quality aspects of the projects. Just to be frank, he is really amazing guy and down to earth for his capability and credentials that he holds. He has understood the problems from the first principles, questioned me the needs, set me the direction, guided and reviewed the work that I was doing with his help.\nA very professional mentor - he stuck to timelines that he committed and irrespective of his own personal challenge, he was available for me. That shows his commitment.\nI really love to work with him again in another opportunity. I strongly recommend the mentees who are looking for mentorship from the list of skills mentioned by Prashant !!\n', '::\nUnfortunately I managed to have only one meeting with the mentor. The talk was extremely useful, as it gave me a lot of leads to think about and work on for the future, hence the five star rating on what potentially it could have been. However, at this stage, due to many professional and non-professional commitments, I was unable to carry on with the mentorship and dedicate the required time. I will however continue working on the issues discussed and agreed as soon as the time allows.\n']"
Andrew Nester,6,5.0,JavaScript,"['softwareengineering', 'webdevelopment', 'web']","[""::\nAndrew is a fantastic mentor. Quick to respond and help and always willing to lend a hand when I am stuck. Andrew helped me build my first application for a company, from pricing to design to launching it. I couldn't have done it without him.\n"", '::\nAndrew is approachable, willing to help and full of knowledge.\n', '::\n']"
David Weldon,5,5.0,JavaScript,"['javascript', 'html', 'css']","['::\nDavid is an amazing mentor. I got so much better at algorithms and Javascript in general because of him. He is the person who was able to make me enjoy doing algorithms, which is a feat of its own. Highly recommended!\n', '::\nDave was a great mentor. He helped me improve so much on my coding skills. He always provided great advice, and I have learned a lot of best coding practices from him.\n', ""::\nDavid is awesome. He is the mentor I've never had in my career.\n""]"
Tanner Barlow,3,5.0,JavaScript,"['typescript', 'python', 'java']","['::\nTanner has incredibly high EQ and is very helpful in helping you reach the next stage of engineering, whatever that is.\n', '::\nTanner has been exceptional in his career advice to me, and very responsive to our chats. I have already experience tangible benefits in the my outlook of my career. I sense greater direction in my path forward & always looking forward for our face-to-face hangouts\n', '::\nTanner is a great mentor! He is very supportive, responsive and accommodating. His years of engineering experience with speedy promotion gives him uniq perspective on how to navigate and succeed in big tech companies. His mentorship has been extremely helpful for me.\n']"
Hossam Mourad,3,5.0,JavaScript,"['javascript', 'react', 'frontend']","[""::\nHossam has the heart of a teacher and a very genuine desire to see you reach your full potential. As a newer engineer, I enjoy being able to learn from Hossam's extensive experience in Software Engineering. He does a great job of helping me to become a well-rounded engineer with hard and soft skills. There is no doubt in my mind the time and resources I have invested as a mentee has been very well worth it.\n"", '::\nHossam does an exceptional job of mentoring. I have been doing sessions with him for a little over two months and have already seen a dramatic improvement in the code that I am able to write. He has a very deliberate, well-planned method of mentoring.\nI would highly recommend mentoring sessions with Hossam, especially for anyone in the Front-End Development world.\n']"
Greg Mitten,7,4.9,JavaScript,"['java', 'scala', 'sql']","['::\nNot applicable\n', '::\nGreg is great mentor who really guide you to write better code and understand it. In the few sessions i had with him i really enjoyed his guidance.\n', '::\nGreg is a great mentor, he is very knowledgeable in Java and general programming. He has been very patient and flexible with me throughout the mentorship. Looking forward to resuming my mentorship with him again!\n']"
Ikenna Okpala,2,5.0,JavaScript,"['ruby', 'rubyonrails', 'python']","['::\nExcellent mentor, so much knowledge and experience!\n']"
Sanjeev Subedi,1,5.0,JavaScript,"['javascript', 'typescript', 'angular']",['NAN']
Alexis Montoro,1,5.0,JavaScript,"['backend', 'frontend', 'web']",[]
Riccardo Giorato,7,4.7,JavaScript,"['reactjs', 'graphql', 'apollo']","['::\nRiccardo is an amazing mentor. Very technical and insightful. I recently started to code in React again and needed a helping hand and he was able to help me find the motivation to finish an app. Very empathetic listener and a great person overall. Highly recommended!\n', '::\nMentorship with Riccardo has been especially helpful in gaining clarity on career next steps and on navigating the job search. He’s a very positive person, cares about his mentees, offers a lot of thoughtful and practical advice, and has helped me a lot in developing my skills as a software engineer. You’re in great hands with Riccardo, and would definitely recommend him 101%!\n']"
Matt Oates,1,5.0,JavaScript,"['javascript', 'frontend', 'react']",['NAN']
Telmo Sampaio,26,5.0,JavaScript,"['javascript', 'react', 'nodejs']","['::\nvery patient, very good teacher, very pleasant > Happy with Telmo :)\n', '::\nVery nice to work with, patient and very good teacher. Truly helpful and caring for you to achieve your goals and learn on the way.\n', ""::\nTelmo's great. I was lost and frustrated before I started mentorship with him. He's always helpful and very knowledgeable. I highly recommend him a mentor!\n""]"
Jainil Vachhani,43,5.0,JavaScript,"['java', 'c++', 'python']","['::\nJainil is a great mentor indeed\n', '::\nJainil has really gone above and beyond as a mentor!\n', '::\nJainil is a great mentor. I had a good experience working with him.\n']"
Anand Safi,63,5.0,JavaScript,"['technicalvision', 'sdlc', 'nodejs']","['::\nAnand helped me every step of job seeking - from screening to technical to impressing the CEO. He sent over multiple reading materials, video tutorials and sample questions of every round of interview in order to prepare for them.\n', '::\nAnand is very knowledgable in the career path that I chose and I\'m very happy with the progress I\'m making with his guidance. I\'m in that ""dark place"" when aspiring developers are between finishing a certification and landing a job offer. If you think that you need help in improving your job hunting spiel, acing that technical code interview or just need someone to ""point you to the right direction"", then Anand is the right mentor for you!\n', ""::\nThanks Anand. I feel more confident about my job search now thanks to you. I also learned a lot about topics that can't be learn through a blog post or an online course.\n""]"
Benjamin Kaiser,16,5.0,JavaScript,"['javascript', 'react', 'nodejs']","['::\nBen is an excellent mentor, patient, and best teacher you could find.\n', ""::\nBenjamin is a high-class professional who knows his thing and is happy to share his knowledge. Especially if you're looking to level up your React app performance optimization and deployment skills - that's a request I approached him with and got what I expected. I will definitely come back for more mentorship again when I'll be ready to level up my skills further.\n"", ""::\nBenjamin is really friendly and helpful, he tries to help in any way he can! He shared many insights, idea's and also helped me with social oriented aspects that are related to my developer role.\n""]"
Ali Alrahahleh,9,5.0,JavaScript,"['dataengineering', 'softwarearchitecture', 'streaming']","[""::\nAli provided a number of resources which was very helpful in furthering my skillset. He gave feedback on coding examples, and projects which supported new ways of thinking and approaching the problem. He's supportive and encouraging as well!\n"", ""::\nAli continues to be an invaluable resource and a terrific mentor. He has helped me navigate an otherwise overwhelming career path and provides tons of support and guidance. He's very quick to respond to questions and has a super flexible schedule. Highly recommend!\n"", '::\nAli was very quick to diagnose my level of understanding and made some really good recommendations for what to focus on. He really knows what he is doing!\n']"
Jascha Silbermann,10,5.0,JavaScript,"['webdevelopment', 'python', 'php']","['::\nJascha is always helping me to get into practice right away. Thanks a lot!\n', '::\nVery good at explaining things and walking through examples. Highly recommend.\n', '::\nBrilliant very informative. Jascha really know what he is talking about\n']"
Cameron Jenkinson,7,5.0,JavaScript,"['javascript', 'nodejs', 'graphql']","['::\nCameron is great! Comes prepared to meetings, takes time to create material and gives advices for ideas or projects.\n', '::\nCameron is an amazing and responsive mentor, on top of that he is talented too. Will definitely be back for more.\n', '::\nCameron is just pure knowledge and has an amazing approach to teaching code. He knows what is he doing and is one of the best mentors on Mentor cruise. Highly recommended master for any newbie coders out there.\n']"
David Maidment,1,5.0,JavaScript,"['backend', 'api', 'database']",['::\nDavid was a fantastic mentor who guided me through a project\n']
Mohammad Takbiri,1,5.0,JavaScript,"['frontenddevelopment', 'fullstackdevelopment', 'productivity']",['::\nI hit a road block during my interview process. Mohammad helped me tackle technical questions during an interview. It was a pleasure being mentored by Mohammad. He was responsive to my questions. He also gave me general tips on how to conduct myself in an interview.\n']
Audax Anchirinah,3,4.7,JavaScript,"['git', 'html', 'css']","['::\nAudax was really helpful and patient. He has worked through difficult algorithm questions with me and has pushed me to understand fundamental concepts of JavaScript.\n', '::\nExcellent Mentor will be back just need a break to focus on some other things\n', '::\nGood Introductory call-looking forward to working with Audax\n']"
Kyle Butler,6,4.3,JavaScript,"['softwaredeveloper', 'coding', 'softwareengineer']","['::\nKyle is awesome and provides tasks that are catered to your goals. He is very quick to respond and answer questions you have as well as provide feedback on an array of things such as your resume as well as provide help with improving your portfolio.\n', '::\nGot a job so no longer using the mentorship actively. Kyle is great. Responds quickly and very smart.\n', '::\nKyle gave me awesome advice and shared several resources. He was knowledgeable about some starting points for my interests in development.\n']"
Yash Khandor,14,4.3,JavaScript,"['softwareengineering', 'interviews', 'javascript']","['::\nYash is great. I feel like I reached my goal of getting a job and I dint really need much else.\n', '::\nYash is an awesome Mentor, he has been guiding me through my job search process and providing me insights on best way to manage my time.\nThankful for his help!\n', '::\nYash Helped me in my DevOps Journey , in the Dev Side.\n']"
Yashish Dua,25,4.4,JavaScript,"['platform', 'infrastructure', 'javascript']","['::\nYashish in an amazing mentor who has taught me a lot in Go, and other engineering concepts. Highly advised for you to employ his services!\n', '::\nWonderful mentor! very knowledgeable and kind. Excellent at explaining topics.\n', ""::\nProbably the most knowledgable person in AWS, DevOps and infrastructure you're ever going to meet. You should definitely give him a call. He is super kind, understanding and willing to work with you where you are.\n""]"
Divya Baid,6,4.8,JavaScript,"['javascript', 'webdevelopment', 'mysql']","['::\nAmazing mentorship! I highly recommend her to anyone looking to professionalize their career in programming.\n', ""::\nAmazing mentor who's been super helpful with helping me acheive my goal of developing my project every step of the way.And also had the opportunity to learn a lot from her expertise.\n"", '::\nDivya was a great mentor! I highly recommend her for anyone looking to professionalize their career and grow their knowledge of React.\n']"
Damilola Oduronbi,4,5.0,JavaScript,"['nodejs', 'javascript', 'html']","['::\nThe mentor was really helpful and professional.\n', '::\nThe journey with Damilola was great and I achieved more than my goals with him\n', '::\nI have tried many mentors before but to be honest Damilola is the best . Within the first session he motivated me and find ways to improve my skills and confidence. I highly recommend Damilola.\n']"
Nathan Krasney,1,5.0,JavaScript,"['react', 'javascript', 'typescript']",['NAN']
Ambroise Dhenain,1,5.0,JavaScript,"['javascript', 'next.js', 'no-code']",['::\nGreat mentor just wrong timing for me.\n']
Carlos David Loureda Parrado,8,5.0,JavaScript,"['reactjs', 'reactnative', 'javascript']","['::\nCarlos is very knowledgeable and was both supportive and flexible! Thanks so much Carlos.\n', ""::\nTaking a mentor is one of the best decisions I made this year. And I'm super lucky to have found Carlos, he is super dedicated, always here to answer my questions, very knowledgeable and experimented,fun and kind!\nI'm not a beginner myself, I'm a developer with several years of experience and lot of clients, but as a freelancer, I had nobody to go further and guide me, so I was really needing that at this point of my career. So thanks to Carlos I feel that I can take any project and I will not be stuck, and learn anything deeply!\n"", ""::\nCarlos is the best mentor you can find, if you need help with a project or you want to learn something new, he will find a way to teach it in the best possible way. He has a lot of experience in the programming area, and most important he is a great and funny person, which means that you can learn a lot in an easy and comfortable way. Among all the mentors that I had so far, he is the one that really helped me understand the basic concepts of programming, and I'm planning to stay with him for a long time just to keep learning and improving.\n""]"
Varun G,5,5.0,JavaScript,"['javascript', 'reactjs', 'redux']","['::\nVarun is a great mentor and always ready to listen, provide recommendations and support whenever needed. I will always recommend him. You are the best.\n', '::\nGreat and supportive mentor.\n', '::\nVarun is a great mentor and has no qualms in rolling up his sleeve in helping me anytime. He explains very clearly with an example when ever it is necessary.\n']"
Robert Greene,1,5.0,JavaScript,"['javascript', 'node', 'nextjs']",['::\nRobert was a great mentor. He explained everything clearly and put me on a great path to accomplish my goals.\n']
Mohit Khanna,11,5.0,Python,"['datascientist', 'machinelearning', 'dataanalyst']","['::\nHe is a great mentor\n', '::\nHe is an expert in data science!\n', '::\nI am currently mentoring with Mohit, and I have to say that he is a super mentor. Very knowledgable and he knows how to help one wade through the ocean of resources related to ML/DS. Looking forward to his guidance for at least the next couple of months!\n']"
Davide Pollicino,4,5.0,Python,"['faang', 'projectmanagement', 'careergrowth']","['::\nDavide is a really good and proactive mentor. Within the first week itself, he provided a really good learning path for me to start with based on my requirement. I am looking forward to his guidance.\n', '::\nDavide is a brilliant and supportive mentor! He replies quickly in chat if you need help or have some questions. His responses are very well-structured and informative. Davide is professional whom I definitely recommend as a mentor :)\n', ""::\nDavide is a phenomenal mentor. He went out of his way to help me in a moment I was really needing support. The only reason I'm ending the mentorship is because I need someone who lives in my timezone. Highly recommended!\n""]"
David Adamo,2,5.0,Python,"['python', 'backend', 'softwarearchitecture']",[]
Amin Ghaderi,20,5.0,Python,"['machinelearning', 'statistics', 'deeplearning']","['::\nI had a great session with Amin to create a study plan. My goal was to help bridge the gaps in my past experiences and be ready for big tech ML interviews. Amin is a resourceful and knowledgeable mentor who is able to suggest the right set of resources you need, without distracting you with noise that could waste your study time or delay your plans. He uses board visualizations to illustrate his views and facilitate the delivery. I enjoyed my session and I am very happy with the suggestions I got. I will definitely be in touch again in future to develop my plan further for the next stages.\n', '::\nAmin is a pleasant person to work with. He is kind, realistic, focused and resourceful.\nI have met with Amin to develop a study plan and much to my liking, he quickly visualized what my career objective entails and then zeroed in on my strengths and weaknesses.\nAmin was able to share with me a handful of free or affordable resources to strengthen my weaknesses and gave me great job seeking advice.\nAmin is not a money-grubbing mentor, and I got a sense that he genuinely cares about his mentees.\n', '::\nI booked a career consultation session with Amin and it was totally worth it.\nHe thoroughly answered any questions I had and helped me formulate a study plan to achieve my goals - would recommend 10/10.\n']"
Matt Smith,8,5.0,Python,"['programming', 'python', 'rust']","['::\nMatt is the gold standard. He is concise and detail oriented, but not overbearing. He provided me with an easy to follow study plan. I received answers to my questions quickly. When he gave feedback, it was thoughtful and I was excited to dig deeper and learn more.\n']"
Aymen Segni,4,5.0,Python,"['sre', 'devops', 'leadership']","[""::\nSo far it's been awesome. Aymen is very knowledgeable and has an awesome plan for my near learning path, better than I've could ever imagined. It is by far the best decision that I've taken for my future. Looking forward to work with him for the next several months.\n"", '::\nAymen is incredibly knowledgeable, helpful and pleasant to work with. if you lost somewhere in your Carrier, Aymen would definitely be a great help. Highly recommended!\n', '::\nAymen is mentoring me in my Cloud, DevOps, and SRE journey, he’s helping me in developing my knowledge and skills in these domains.\nHe is sharing his knowledge and expertise that I need in my journey and in my projects.\nIn addition to that, Aymen created a customized and dynamic study plan for consistently and effectively acquiring the right skills.\n']"
Saeed Mirshekari,3,5.0,Python,"['machinelearning', 'python', 'r']","[""::\nSaeed helps me to pivot my career into data analytics. As someone with no technical/math background, I had concerns that I wasn't prepared enough, and Saeed helps me overcome my fears. He always ready to answer my questions regarding projects and coding related challenges. No one has ever worked on my resume the way Saeed did. He wrote a detailed review that helped me tailor my work experience to the new role and lay it out logically. He is always enthusiastic and loves people!\n"", '::\nSaeed helped me a lot with a real project and that helped me a lot with my job and he was always there answering my tons of questions clarifying thanks for me clearly.. thanks Saeed\n']"
Dipanjan Sarkar,2,5.0,Python,"['naturallanguageprocessing', 'artificialintelligence', 'deeplearning']",[]
Ahmed Sadman Muhib,2,5.0,Python,"['python', 'react', 'javascript']","['::\nAhmed is a great mentor! I was looking for a mentor who could help me strengthen my technical background and Ahmed was a great help. He shared many valuable resources and has excellent knowledge when it comes to technical aspects. Most importantly he held me accountable by assigning weekly milestones to achieve which helped quite a bit with my studying progress. I would highly recommend working with Ahmed.\n', ""::\nI'm absolutely loving this mentorship. Muhib is very methodical in his teaching, definitely knows what he is doing. All of his explanations are very thorough and he teaches in a fun and friendly environment. With his guidance, my productivity and retention has increased tremendously. I achieved much more in past few weeks which would have taken months otherwise. Probably the quality I like most about him is that he is very responsive and goes above and beyond to help me. I would definitely recommend him as a mentor.\n""]"
Linda Oranya,5,4.8,Python,"['python', 'sql', 'datascience']",[]
Anirudh Peddada,1,5.0,Python,"['datascience', 'machinelearning', 'python']","['::\nAnirudh is a great mentor. He was always ready to jump over a call and shape my ideas or share his on a project that we began working on.\n', '::\nAnirudh is amazing! He is very enthusiastic to help out and gave very good advice on improving our recommendation engine. Would highly recommend him!\n']"
